Institution ID,Inst CRM ID,Dept Name,Department ID
Kinneret Academic College in the Jordan Valley,6189624A-265A-E911-8106-000C29A8E632,Behavior Analysis,8459
Kinneret Academic College in the Jordan Valley,6189624A-265A-E911-8106-000C29A8E632,Registered Course,9926
Kongju National University,4B81F72C-275A-E911-8106-000C29A8E632,Behavioral Psychology and Intervention,8293
Kongju National University,4B81F72C-275A-E911-8106-000C29A8E632,Registered Course,9927
Konrad Lorenz University,80FF851B-285A-E911-8106-000C29A8E632,Psychology,8489
Konrad Lorenz University,80FF851B-285A-E911-8106-000C29A8E632,Registered Course,9928
Kore University - IESCUM,91B4DBDF-295A-E911-8106-000C29A8E632,M-PSI/01 - Psicologia generale,8535
Kore University - IESCUM,91B4DBDF-295A-E911-8106-000C29A8E632,psychology,8578
Kore University - IESCUM,91B4DBDF-295A-E911-8106-000C29A8E632,Registered Course,9929
Kutztown University of Pennsylvania,AFD31550-2B5A-E911-8106-000C29A8E632,Special Education,8339
Kutztown University of Pennsylvania,AFD31550-2B5A-E911-8106-000C29A8E632,Registered Course,9930
La Sierra University,80157516-2C5A-E911-8106-000C29A8E632,School Psychology & Counseling,8451
La Sierra University,80157516-2C5A-E911-8106-000C29A8E632,Registered Course,9931
La Sierra University,80157516-2C5A-E911-8106-000C29A8E632,Education,11408
Lamar University,,Registered Course,9932
Lamar University,,,11936
Lambton College,5C208737-385A-E911-8106-000C29A8E632,School of Community Studies & Liberal Arts,8281
Lambton College,5C208737-385A-E911-8106-000C29A8E632,Registered Course,9933
Lehigh University,02CFEF59-6200-E411-BEB5-00505683000D,Special Education,8423
Lehigh University,02CFEF59-6200-E411-BEB5-00505683000D,Registered Course,9934
Lehigh University,02CFEF59-6200-E411-BEB5-00505683000D,,11937
Lindenwood University,875902E1-385A-E911-8106-000C29A8E632,Educational Leadership,8488
Lindenwood University,875902E1-385A-E911-8106-000C29A8E632,Registered Course,9935
Lipscomb University,A799B828-395A-E911-8106-000C29A8E632,Education,8453
Lipscomb University,A799B828-395A-E911-8106-000C29A8E632,Registered Course,9936
